t,x,y,z
1.892559285130515150e+02,5.000000000000000000e+03,-9.462796425652575635e+03,5.000000000000000000e+02
1.906475162227062867e+02,5.000000000000000000e+03,-9.532375811135314507e+03,5.000000000000000000e+02
1.920391039323610869e+02,5.000000000000000000e+03,-9.601955196618055197e+03,5.000000000000000000e+02
1.934306916420158871e+02,5.000000000000000000e+03,-9.671534582100794069e+03,5.000000000000000000e+02
1.948222793516706588e+02,5.000000000000000000e+03,-9.741113967583532940e+03,5.000000000000000000e+02
1.962138670613254590e+02,5.000000000000000000e+03,-9.810693353066273630e+03,5.000000000000000000e+02
1.976054547709802591e+02,5.000000000000000000e+03,-9.880272738549012502e+03,5.000000000000000000e+02
1.989970424806350309e+02,5.000000000000000000e+03,-9.949852124031751373e+03,5.000000000000000000e+02
2.003886301902898310e+02,5.000000000000000000e+03,-1.001943150951449206e+04,5.000000000000000000e+02
2.017802178999446312e+02,5.000000000000000000e+03,-1.008901089499723093e+04,5.000000000000000000e+02
2.031718056095994029e+02,5.000000000000000000e+03,-1.015859028047996981e+04,5.000000000000000000e+02
2.045633933192542031e+02,5.000000000000000000e+03,-1.022816966596271050e+04,5.000000000000000000e+02
2.059549810289090033e+02,5.000000000000000000e+03,-1.029774905144544937e+04,5.000000000000000000e+02
2.073465687385637750e+02,5.000000000000000000e+03,-1.036732843692818824e+04,5.000000000000000000e+02
2.087381564482185752e+02,5.000000000000000000e+03,-1.043690782241092893e+04,5.000000000000000000e+02
2.101297441578733753e+02,5.000000000000000000e+03,-1.050648720789366962e+04,5.000000000000000000e+02
2.115213318675281471e+02,5.000000000000000000e+03,-1.057606659337640667e+04,5.000000000000000000e+02
2.129129195771829473e+02,5.000000000000000000e+03,-1.064564597885914736e+04,5.000000000000000000e+02
2.143045072868377474e+02,5.000000000000000000e+03,-1.071522536434188805e+04,5.000000000000000000e+02
2.156960949964925192e+02,5.000000000000000000e+03,-1.078480474982462511e+04,5.000000000000000000e+02
2.170876827061473193e+02,5.000000000000000000e+03,-1.085438413530736580e+04,5.000000000000000000e+02
2.184792704158021195e+02,5.000000000000000000e+03,-1.092396352079010649e+04,5.000000000000000000e+02
2.198708581254568912e+02,5.000000000000000000e+03,-1.099354290627284536e+04,5.000000000000000000e+02
2.212624458351116914e+02,5.000000000000000000e+03,-1.106312229175558423e+04,5.000000000000000000e+02
2.226540335447664916e+02,5.000000000000000000e+03,-1.113270167723832492e+04,5.000000000000000000e+02
2.240456212544212633e+02,5.000000000000000000e+03,-1.120228106272106379e+04,5.000000000000000000e+02
2.254372089640760635e+02,5.000000000000000000e+03,-1.127186044820380266e+04,5.000000000000000000e+02
2.268287966737308636e+02,5.000000000000000000e+03,-1.134143983368654335e+04,5.000000000000000000e+02
2.282203843833856354e+02,5.000000000000000000e+03,-1.141101921916928222e+04,5.000000000000000000e+02
2.296119720930404355e+02,5.000000000000000000e+03,-1.148059860465202109e+04,5.000000000000000000e+02
2.310035598026952357e+02,5.000000000000000000e+03,-1.155017799013476179e+04,5.000000000000000000e+02
2.323951475123500074e+02,5.000000000000000000e+03,-1.161975737561750066e+04,5.000000000000000000e+02
2.337867352220048076e+02,5.000000000000000000e+03,-1.168933676110023953e+04,5.000000000000000000e+02
2.351783229316596078e+02,5.000000000000000000e+03,-1.175891614658298022e+04,5.000000000000000000e+02
2.365699106413143795e+02,5.000000000000000000e+03,-1.182849553206571909e+04,5.000000000000000000e+02
2.379614983509691797e+02,5.000000000000000000e+03,-1.189807491754845978e+04,5.000000000000000000e+02
2.393530860606239798e+02,5.000000000000000000e+03,-1.196765430303119865e+04,5.000000000000000000e+02
2.407446737702787516e+02,5.000000000000000000e+03,-1.203723368851393752e+04,5.000000000000000000e+02
2.421362614799335518e+02,5.000000000000000000e+03,-1.210681307399667821e+04,5.000000000000000000e+02
2.435278491895883519e+02,5.000000000000000000e+03,-1.217639245947941708e+04,5.000000000000000000e+02
2.449194368992431237e+02,5.000000000000000000e+03,-1.224597184496215596e+04,5.000000000000000000e+02
2.463110246088979238e+02,5.000000000000000000e+03,-1.231555123044489665e+04,5.000000000000000000e+02
2.477026123185527240e+02,5.000000000000000000e+03,-1.238513061592763552e+04,5.000000000000000000e+02
2.490942000282074957e+02,5.000000000000000000e+03,-1.245471000141037439e+04,5.000000000000000000e+02
2.504857877378622959e+02,5.000000000000000000e+03,-1.252428938689311508e+04,5.000000000000000000e+02
2.518773754475170961e+02,5.000000000000000000e+03,-1.259386877237585395e+04,5.000000000000000000e+02
2.532689631571718678e+02,5.000000000000000000e+03,-1.266344815785859282e+04,5.000000000000000000e+02
2.546605508668266680e+02,5.000000000000000000e+03,-1.273302754334133351e+04,5.000000000000000000e+02
2.560521385764814681e+02,5.000000000000000000e+03,-1.280260692882407420e+04,5.000000000000000000e+02
